price_open,price_high,price_low,price_close,timestamp,date
5.00499,5.00499,5.00499,5.00499,1664977320,2022-10-05T13:42:00
6.29232,6.29232,6.29232,6.29232,1663109880,2022-09-13T22:58:00
4.22325,4.22325,4.22325,4.22325,1656834540,2022-07-03T07:49:00
6.14783,6.14783,6.14783,6.14783,1655000460,2022-06-12T02:21:00
6.96191,6.96191,6.96191,6.96191,1654998480,2022-06-12T01:48:00
10.1848,10.1848,10.1848,10.1848,1653149880,2022-05-21T16:18:00
17.6422,17.6422,17.6422,17.6422,1648481580,2022-03-28T15:33:00
17.7652,17.7652,17.7652,17.7652,1647723660,2022-03-19T21:01:00
19.659,19.659,19.659,19.659,1647319560,2022-03-15T04:46:00
22.6671,22.6671,22.6671,22.6671,1647233760,2022-03-14T04:56:00
28.6038,28.6038,28.6038,28.6038,1642603320,2022-01-19T14:42:00
36.5281,36.5281,36.5281,36.5281,1639407600,2021-12-13T15:00:00
38.7561,38.7561,38.7561,38.7561,1639268640,2021-12-12T00:24:00
41.5671,41.5671,41.5671,41.5671,1639087140,2021-12-09T21:59:00
46.9496,46.9496,46.9496,46.9496,1638755580,2021-12-06T01:53:00
62.8042,62.8042,62.8042,62.8042,1638370140,2021-12-01T14:49:00
62.2031,62.2031,62.2031,62.2031,1638153900,2021-11-29T02:45:00
57.4517,57.4517,57.4517,57.4517,1637718660,2021-11-24T01:51:00
51.6552,51.6552,51.6552,51.6552,1635596700,2021-10-30T12:25:00
52.6459,52.6459,52.6459,52.6459,1635572160,2021-10-30T05:36:00
42.0607,42.0607,42.0607,42.0607,1634116920,2021-10-13T09:22:00
46.004,46.004,46.004,46.004,1634047020,2021-10-12T13:57:00
49.0087,49.0087,49.0087,49.0087,1634026920,2021-10-12T08:22:00
51.8893,51.8893,51.8893,51.8893,1634025900,2021-10-12T08:05:00
55.4323,55.4323,55.4323,55.4323,1634023380,2021-10-12T07:23:00
59.319,59.319,59.319,59.319,1634023200,2021-10-12T07:20:00
63.8103,63.8103,63.8103,63.8103,1633944180,2021-10-11T09:23:00
65.1302,65.1302,65.1302,65.1302,1633787880,2021-10-09T13:58:00
67.7853,67.7853,67.7853,67.7853,1633709820,2021-10-08T16:17:00
72.3999,72.3999,72.3999,72.3999,1633707120,2021-10-08T15:32:00
61.2371,61.2371,61.2371,61.2371,1632572520,2021-09-25T12:22:00
70.0224,70.0224,70.0224,70.0224,1632432720,2021-09-23T21:32:00
72.89,72.89,72.89,72.89,1632214800,2021-09-21T09:00:00
86.2441,86.2441,86.2441,86.2441,1631959080,2021-09-18T09:58:00
105.362,105.362,105.362,105.362,1631959020,2021-09-18T09:57:00
124.438,124.438,124.438,124.438,1631944620,2021-09-18T05:57:00
99.7378,99.7378,99.7378,99.7378,1631933880,2021-09-18T02:58:00
86.262,86.262,86.262,86.262,1631857980,2021-09-17T05:53:00
85.8122,85.8122,85.8122,85.8122,1631857080,2021-09-17T05:38:00
81.5209,81.5209,81.5209,81.5209,1631445240,2021-09-12T11:14:00
85.0389,85.0389,85.0389,85.0389,1631187060,2021-09-09T11:31:00
87.8027,87.8027,87.8027,87.8027,1631166180,2021-09-09T05:43:00
88.5945,88.5945,88.5945,88.5945,1631084340,2021-09-08T06:59:00
96.6427,96.6427,96.6427,96.6427,1631084280,2021-09-08T06:58:00
126.903,126.903,126.903,126.903,1630944420,2021-09-06T16:07:00
135.486,135.486,135.486,135.486,1630850640,2021-09-05T14:04:00
112.969,112.969,112.969,112.969,1630233300,2021-08-29T10:35:00
117.044,117.044,117.044,117.044,1630131780,2021-08-28T06:23:00
116.78,116.78,116.78,116.78,1630014780,2021-08-26T21:53:00
121.121,121.121,121.121,121.121,1629956760,2021-08-26T05:46:00
127.976,127.976,127.976,127.976,1629559440,2021-08-21T15:24:00
131.764,131.764,131.764,131.764,1629535200,2021-08-21T08:40:00
121.078,121.078,121.078,121.078,1629378240,2021-08-19T13:04:00
131.033,131.033,131.033,131.033,1629225540,2021-08-17T18:39:00
133.951,133.951,133.951,133.951,1629036900,2021-08-15T14:15:00
137.518,137.518,137.518,137.518,1629018300,2021-08-15T09:05:00
141.119,141.119,141.119,141.119,1628605680,2021-08-10T14:28:00
142.031,142.031,142.031,142.031,1628598180,2021-08-10T12:23:00
145.863,145.863,145.863,145.863,1628594520,2021-08-10T11:22:00
141.418,141.418,141.418,141.418,1628593620,2021-08-10T11:07:00
150.15,150.15,150.15,150.15,1628591400,2021-08-10T10:30:00
202.044,202.044,185.145,185.145,1628577060,2021-08-10T06:31:00
200.024,200.024,200.024,200.024,1628573280,2021-08-10T05:28:00
201.828,201.828,201.828,201.828,1628572440,2021-08-10T05:14:00
192.72,192.72,192.72,192.72,1628569860,2021-08-10T04:31:00
179.964,179.964,179.964,179.964,1628569740,2021-08-10T04:29:00
166.662,166.662,166.662,166.662,1628557140,2021-08-10T00:59:00
166.964,166.964,166.964,166.964,1628556960,2021-08-10T00:56:00
123.078,123.078,123.078,123.078,1628556840,2021-08-10T00:54:00
122.08,122.08,122.08,122.08,1628555580,2021-08-10T00:33:00
103.394,103.394,103.394,103.394,1628552340,2021-08-09T23:39:00
87.2616,87.2616,87.2616,87.2616,1627951020,2021-08-03T00:37:00
88.9948,88.9948,88.9948,88.9948,1627910880,2021-08-02T13:28:00
89.7669,89.7669,89.7669,89.7669,1627883760,2021-08-02T05:56:00
79.2222,79.2222,79.2222,79.2222,1627338900,2021-07-26T22:35:00
76.217,76.217,76.217,76.217,1627175940,2021-07-25T01:19:00
65.4335,65.4335,65.4335,65.4335,1626698760,2021-07-19T12:46:00
68.7218,68.7218,68.7218,68.7218,1626563880,2021-07-17T23:18:00
70.3284,70.3284,70.3284,70.3284,1626392820,2021-07-15T23:47:00
73.1546,73.1546,73.1546,73.1546,1626336000,2021-07-15T08:00:00
75.327,75.327,75.327,75.327,1626299460,2021-07-14T21:51:00
74.9374,74.9374,74.9374,74.9374,1626250560,2021-07-14T08:16:00
84.6452,84.6452,84.6452,84.6452,1626087660,2021-07-12T11:01:00
81.6645,81.6645,81.6645,81.6645,1626025020,2021-07-11T17:37:00
82.7484,82.7484,82.7484,82.7484,1626016920,2021-07-11T15:22:00
85.5459,85.5459,85.5459,85.5459,1625984700,2021-07-11T06:25:00
83.9235,83.9235,83.9235,83.9235,1625931840,2021-07-10T15:44:00
82.8963,82.8963,82.8963,82.8963,1625906760,2021-07-10T08:46:00
78.2859,78.2859,78.2859,78.2859,1625894460,2021-07-10T05:21:00
74.1924,74.1924,74.1924,74.1924,1625854620,2021-07-09T18:17:00
66.9256,66.9256,66.9256,66.9256,1625780940,2021-07-08T21:49:00
62.3168,62.3168,62.3168,62.3168,1625777220,2021-07-08T20:47:00
61.0948,61.0948,61.0948,61.0948,1625777040,2021-07-08T20:44:00
55.7459,55.7459,55.7459,55.7459,1625143980,2021-07-01T12:53:00
50.5078,50.5078,50.5078,50.5078,1624856580,2021-06-28T05:03:00
44.3643,44.3643,44.3643,44.3643,1624750260,2021-06-26T23:31:00
43.2155,43.2155,43.2155,43.2155,1624717620,2021-06-26T14:27:00
49.7173,49.7173,49.7173,49.7173,1624599120,2021-06-25T05:32:00
49.8506,49.8506,49.8506,49.8506,1624277460,2021-06-21T12:11:00
51.7343,51.7343,51.7343,51.7343,1624272180,2021-06-21T10:43:00
56.0011,56.0011,56.0011,56.0011,1624199520,2021-06-20T14:32:00
60.0512,60.0512,60.0512,60.0512,1624089600,2021-06-19T08:00:00
63.7369,63.7369,63.7369,63.7369,1623991740,2021-06-18T04:49:00
64.282,64.282,64.282,64.282,1623957420,2021-06-17T19:17:00
70.0231,70.0231,70.0231,70.0231,1623809400,2021-06-16T02:10:00
65.1798,65.1798,65.1798,65.1798,1623602220,2021-06-13T16:37:00
68.3598,68.3598,68.3598,68.3598,1623356280,2021-06-10T20:18:00
70.9825,70.9825,70.9825,70.9825,1623095520,2021-06-07T19:52:00
74.2235,74.2235,74.2235,74.2235,1622865960,2021-06-05T04:06:00
71.8443,71.8443,71.8443,71.8443,1622615400,2021-06-02T06:30:00
70.428,70.428,70.428,70.428,1622568480,2021-06-01T17:28:00
68.6939,68.6939,68.6939,68.6939,1622203440,2021-05-28T12:04:00
81.0895,81.0895,81.0895,81.0895,1622011740,2021-05-26T06:49:00
71.9333,71.9333,71.9333,71.9333,1621943940,2021-05-25T11:59:00
82.9107,82.9107,82.9107,82.9107,1621743900,2021-05-23T04:25:00
100.884,100.884,100.884,100.884,1621678380,2021-05-22T10:13:00
106.318,106.318,106.318,106.318,1621677360,2021-05-22T09:56:00
107.798,107.798,107.798,107.798,1621642680,2021-05-22T00:18:00
128.398,128.398,128.398,128.398,1621518840,2021-05-20T13:54:00
105.578,105.578,105.578,105.578,1621482540,2021-05-20T03:49:00
