price_open,price_high,price_low,price_close,timestamp,date
40.6113,40.6113,40.6113,40.6113,1676085780,2023-02-11T03:23:00
44.6957,44.6957,44.6957,44.6957,1675585800,2023-02-05T08:30:00
41.4693,41.4693,41.4693,41.4693,1673668200,2023-01-14T03:50:00
30.7951,30.7951,30.7951,30.7951,1668044700,2022-11-10T01:45:00
41.764,41.764,41.764,41.764,1666841940,2022-10-27T03:39:00
35.1888,35.1888,35.1888,35.1888,1663560300,2022-09-19T04:05:00
39.8417,39.8417,39.8417,39.8417,1663300320,2022-09-16T03:52:00
46.3184,46.3184,46.3184,46.3184,1662787980,2022-09-10T05:33:00
39.0737,39.0737,39.0737,39.0737,1661758440,2022-08-29T07:34:00
44.9487,44.9487,44.9487,44.9487,1661083020,2022-08-21T11:57:00
43.8787,43.8787,43.8787,43.8787,1660961100,2022-08-20T02:05:00
52.4716,52.4716,52.4716,52.4716,1660361040,2022-08-13T03:24:00
47.5768,47.5768,47.5768,47.5768,1660016460,2022-08-09T03:41:00
43.7439,43.7439,43.7439,43.7439,1658485440,2022-07-22T10:24:00
36.1786,36.1786,36.1786,36.1786,1658030820,2022-07-17T04:07:00
30.5712,30.5712,30.5712,30.5712,1655275800,2022-06-15T06:50:00
39.7527,39.7527,39.7527,39.7527,1655031540,2022-06-12T10:59:00
48.4008,48.4008,48.4008,48.4008,1654763400,2022-06-09T08:30:00
52.4698,52.4698,52.4698,52.4698,1652936700,2022-05-19T05:05:00
78.1774,78.1774,78.1774,78.1774,1650266760,2022-04-18T07:26:00
100.372,100.372,100.372,100.372,1649001720,2022-04-03T16:02:00
92.3195,92.3195,92.3195,92.3195,1648563960,2022-03-29T14:26:00
79.8819,79.8819,79.8819,79.8819,1648055340,2022-03-23T17:09:00
69.1331,69.1331,69.1331,69.1331,1647085200,2022-03-12T11:40:00
99.4424,99.4424,99.4424,99.4424,1640974500,2021-12-31T18:15:00
126.291,126.291,126.291,126.291,1636401180,2021-11-08T19:53:00
108.515,108.515,108.515,108.515,1635055140,2021-10-24T05:59:00
100.828,100.828,100.828,100.828,1634682540,2021-10-19T22:29:00
82.8983,82.8983,82.8983,82.8983,1633075260,2021-10-01T08:01:00
89.6646,89.6646,89.6646,89.6646,1631337420,2021-09-11T05:17:00
80.0255,80.0255,80.0255,80.0255,1629244320,2021-08-17T23:52:00
84.5704,84.5704,84.5704,84.5704,1629216840,2021-08-17T16:14:00
85.126,85.126,85.126,85.126,1629197940,2021-08-17T10:59:00
83.8155,83.8155,83.8155,83.8155,1629187020,2021-08-17T07:57:00
82.1615,82.1615,82.1615,82.1615,1629110400,2021-08-16T10:40:00
77.3627,77.3627,77.3627,77.3627,1629006300,2021-08-15T05:45:00
73.6861,73.6861,73.6861,73.6861,1628966940,2021-08-14T18:49:00
69.8823,69.8823,69.8823,69.8823,1628761140,2021-08-12T09:39:00
73.3221,73.3221,73.3221,73.3221,1628739240,2021-08-12T03:34:00
75.0923,75.0923,75.0923,75.0923,1628669640,2021-08-11T08:14:00
73.1551,73.1551,73.1551,73.1551,1628503800,2021-08-09T10:10:00
72.2243,72.2243,72.2243,72.2243,1628411580,2021-08-08T08:33:00
70.6542,70.6542,70.6542,70.6542,1628404680,2021-08-08T06:38:00
64.3637,64.3637,64.3637,64.3637,1628329260,2021-08-07T09:41:00
63.2786,63.2786,63.2786,63.2786,1628326080,2021-08-07T08:48:00
62.0559,62.0559,62.0559,62.0559,1628302860,2021-08-07T02:21:00
54.7865,54.7865,54.7865,54.7865,1628246820,2021-08-06T10:47:00
85.0138,85.0138,85.0138,85.0138,1628229180,2021-08-06T05:53:00
73.1012,73.1012,73.1012,73.1012,1628224020,2021-08-06T04:27:00
48.3077,48.3077,48.3077,48.3077,1628165760,2021-08-05T12:16:00
40.522,40.522,40.522,40.522,1627802040,2021-08-01T07:14:00
36.0724,36.0724,36.0724,36.0724,1627706640,2021-07-31T04:44:00
34.1263,34.1263,34.1263,34.1263,1627633680,2021-07-30T08:28:00
31.5432,31.5432,31.5432,31.5432,1627599120,2021-07-29T22:52:00
31.1241,31.1241,31.1241,31.1241,1627588620,2021-07-29T19:57:00
30.8187,30.8187,30.8187,30.8187,1627560900,2021-07-29T12:15:00
28.3504,28.3504,28.3504,28.3504,1627478700,2021-07-28T13:25:00
26.3987,26.3987,26.3987,26.3987,1627426680,2021-07-27T22:58:00
23.7401,23.7401,23.7401,23.7401,1627259520,2021-07-26T00:32:00
23.5343,23.5343,23.5343,23.5343,1627252440,2021-07-25T22:34:00
23.1923,23.1923,23.1923,23.1923,1627219500,2021-07-25T13:25:00
22.6536,22.6536,22.6536,22.6536,1627169460,2021-07-24T23:31:00
22.59,22.59,22.59,22.59,1627133520,2021-07-24T13:32:00
16.9346,16.9346,16.9346,16.9346,1626867000,2021-07-21T11:30:00
16.4389,16.4389,16.4389,16.4389,1626860400,2021-07-21T09:40:00
14.905,14.905,14.905,14.905,1626818940,2021-07-20T22:09:00
19.1965,19.1965,19.1965,19.1965,1626576840,2021-07-18T02:54:00
13.866,13.866,13.866,13.866,1626529020,2021-07-17T13:37:00
