price_open,price_high,price_low,price_close,timestamp,date
63.5702,63.5702,63.5702,63.5702,1680802920,2023-04-06T17:42:00
63.5989,63.5989,63.5989,63.5989,1680801660,2023-04-06T17:21:00
61.0044,61.0044,61.0044,61.0044,1679621940,2023-03-24T01:39:00
60.9198,60.9198,60.9198,60.9198,1679619060,2023-03-24T00:51:00
58.8338,58.8338,58.8338,58.8338,1679359560,2023-03-21T00:46:00
56.9,56.9,56.9,56.9,1676678340,2023-02-17T23:59:00
50.4974,50.4974,50.4974,50.4974,1676363340,2023-02-14T08:29:00
53.4183,53.4183,53.4183,53.4183,1675072560,2023-01-30T09:56:00
56.9256,56.9256,56.9256,56.9256,1674587280,2023-01-24T19:08:00
59.8221,59.8221,59.8221,59.8221,1674587220,2023-01-24T19:07:00
59.1083,59.1083,59.1083,59.1083,1673834160,2023-01-16T01:56:00
47.7795,47.7795,47.7795,47.7795,1673076780,2023-01-07T07:33:00
47.8756,47.8756,47.8756,47.8756,1672858140,2023-01-04T18:49:00
48.1511,48.1511,48.1511,48.1511,1671118920,2022-12-15T15:42:00
49.7227,49.7227,49.7227,49.7227,1670974200,2022-12-13T23:30:00
47.9359,47.9359,47.9359,47.9359,1670931240,2022-12-13T11:34:00
47.6336,47.6336,47.6336,47.6336,1670592840,2022-12-09T13:34:00
45.0537,45.0537,45.0537,45.0537,1670446440,2022-12-07T20:54:00
44.8687,44.8687,44.8687,44.8687,1670417400,2022-12-07T12:50:00
44.8865,44.8865,44.8865,44.8865,1670405160,2022-12-07T09:26:00
45.1645,45.1645,45.1645,45.1645,1670400600,2022-12-07T08:10:00
45.2832,45.2832,45.2832,45.2832,1670399160,2022-12-07T07:46:00
46.1195,46.1195,46.1195,46.1195,1670378040,2022-12-07T01:54:00
45.5764,45.5764,45.5764,45.5764,1670339580,2022-12-06T15:13:00
45.5942,45.5942,45.5942,45.5942,1670319420,2022-12-06T09:37:00
46.7332,46.7332,46.7332,46.7332,1670251860,2022-12-05T14:51:00
45.7722,45.7722,45.7722,45.7722,1670161920,2022-12-04T13:52:00
46.3102,46.3102,46.17,46.17,1670003220,2022-12-02T17:47:00
45.2818,45.2818,45.2818,45.2818,1670002680,2022-12-02T17:38:00
