price_open,price_high,price_low,price_close,timestamp,date
3.17821e-08,3.17821e-08,3.17821e-08,3.17821e-08,1680529380,2023-04-03T13:43:00
1.97937e-08,1.97937e-08,1.97937e-08,1.97937e-08,1680484680,2023-04-03T01:18:00
1.44705e-08,1.44705e-08,1.44705e-08,1.44705e-08,1678693500,2023-03-13T07:45:00
8.87061e-09,8.87061e-09,8.87061e-09,8.87061e-09,1676742240,2023-02-18T17:44:00
5.69487e-09,5.69487e-09,5.69487e-09,5.69487e-09,1674889140,2023-01-28T06:59:00
4.25325e-09,4.25325e-09,4.25325e-09,4.25325e-09,1673422560,2023-01-11T07:36:00
3.4534e-09,3.4534e-09,3.4534e-09,3.4534e-09,1672908540,2023-01-05T08:49:00
3.50353e-09,3.50353e-09,3.50353e-09,3.50353e-09,1672508940,2022-12-31T17:49:00
2.49764e-09,2.49764e-09,2.49764e-09,2.49764e-09,1670436180,2022-12-07T18:03:00
1.66774e-09,1.66774e-09,1.66774e-09,1.66774e-09,1670435700,2022-12-07T17:55:00
1.73795e-09,1.73795e-09,1.73795e-09,1.73795e-09,1670080380,2022-12-03T15:13:00
1.53972e-09,1.53972e-09,1.53972e-09,1.53972e-09,1669101420,2022-11-22T07:17:00
9.78911e-09,9.78911e-09,9.78911e-09,9.78911e-09,1669069380,2022-11-21T22:23:00
6.37461e-08,6.37461e-08,6.37461e-08,6.37461e-08,1669002960,2022-11-21T03:56:00
7.84459e-08,7.84459e-08,7.84459e-08,7.84459e-08,1668636120,2022-11-16T22:02:00
1.04588e-07,1.04588e-07,1.04588e-07,1.04588e-07,1668613680,2022-11-16T15:48:00
1.3093e-07,1.3093e-07,1.3093e-07,1.3093e-07,1668211800,2022-11-12T00:10:00
1.16702e-07,1.16702e-07,1.16702e-07,1.16702e-07,1668211260,2022-11-12T00:01:00
1.01228e-07,1.01228e-07,1.01228e-07,1.01228e-07,1668181020,2022-11-11T15:37:00
1.04255e-07,1.04255e-07,1.04255e-07,1.04255e-07,1668075240,2022-11-10T10:14:00
1.40874e-07,1.40874e-07,1.40874e-07,1.40874e-07,1666636380,2022-10-24T18:33:00
1.78459e-07,1.78459e-07,1.78459e-07,1.78459e-07,1666089720,2022-10-18T10:42:00
2.01529e-07,2.01529e-07,2.01529e-07,2.01529e-07,1666024500,2022-10-17T16:35:00
1.64748e-07,1.64748e-07,1.64748e-07,1.64748e-07,1666004160,2022-10-17T10:56:00
1.5043e-07,1.5043e-07,1.5043e-07,1.5043e-07,1665231300,2022-10-08T12:15:00
1.57476e-07,1.57476e-07,1.57476e-07,1.57476e-07,1665217740,2022-10-08T08:29:00
1.68396e-07,1.68396e-07,1.68396e-07,1.68396e-07,1665171360,2022-10-07T19:36:00
1.78579e-07,1.78579e-07,1.78579e-07,1.78579e-07,1664833500,2022-10-03T21:45:00
2.08361e-07,2.08361e-07,2.08361e-07,2.08361e-07,1664740980,2022-10-02T20:03:00
2.10497e-07,2.10497e-07,2.10497e-07,2.10497e-07,1664683020,2022-10-02T03:57:00
1.59675e-07,1.59675e-07,1.59675e-07,1.59675e-07,1664342520,2022-09-28T05:22:00
1.39628e-07,1.39628e-07,1.39628e-07,1.39628e-07,1664341680,2022-09-28T05:08:00
2.33716e-07,2.33716e-07,2.33716e-07,2.33716e-07,1664303580,2022-09-27T18:33:00
4.57981e-07,4.57981e-07,4.57981e-07,4.57981e-07,1664277180,2022-09-27T11:13:00
6.76077e-07,6.76077e-07,6.76077e-07,6.76077e-07,1664273580,2022-09-27T10:13:00
1.15344e-06,1.15344e-06,1.15344e-06,1.15344e-06,1664264640,2022-09-27T07:44:00
2.02211e-06,2.02211e-06,2.02211e-06,2.02211e-06,1664251260,2022-09-27T04:01:00
3.1876e-06,3.1876e-06,3.1876e-06,3.1876e-06,1664246940,2022-09-27T02:49:00
3.92653e-06,3.92653e-06,3.92653e-06,3.92653e-06,1664246580,2022-09-27T02:43:00
4.06368e-06,4.06368e-06,4.06368e-06,4.06368e-06,1664244600,2022-09-27T02:10:00
7.34586e-07,7.34586e-07,7.34586e-07,7.34586e-07,1664244540,2022-09-27T02:09:00
9.58381e-08,9.58381e-08,9.58381e-08,9.58381e-08,1664108520,2022-09-25T12:22:00
1.1805e-07,1.1805e-07,1.1805e-07,1.1805e-07,1664107920,2022-09-25T12:12:00
1.76003e-07,1.76003e-07,1.76003e-07,1.76003e-07,1663984320,2022-09-24T01:52:00
1.35209e-07,1.35209e-07,1.35209e-07,1.35209e-07,1663552620,2022-09-19T01:57:00
1.26512e-07,1.26512e-07,1.26512e-07,1.26512e-07,1663457460,2022-09-17T23:31:00
1.50921e-07,1.50921e-07,1.50921e-07,1.50921e-07,1663354440,2022-09-16T18:54:00
