price_open,price_high,price_low,price_close,timestamp,date
1.45066,1.45066,1.45066,1.45066,1672322880,2022-12-29T14:08:00
2.0975,2.0975,2.0975,2.0975,1667344080,2022-11-01T23:08:00
1.59929,1.59929,1.59929,1.59929,1667136120,2022-10-30T13:22:00
0.791053,0.791053,0.791053,0.791053,1664740620,2022-10-02T19:57:00
0.792175,0.792175,0.792175,0.792175,1663414140,2022-09-17T11:29:00
1.81483,1.81483,1.81483,1.81483,1660315740,2022-08-12T14:49:00
3.28596,3.28596,3.28596,3.28596,1660252920,2022-08-11T21:22:00
2.31834,2.31834,2.31834,2.31834,1659934260,2022-08-08T04:51:00
2.95808,2.95808,2.95808,2.95808,1659638820,2022-08-04T18:47:00
3.42191,3.42191,3.42191,3.42191,1659638640,2022-08-04T18:44:00
2.02018,2.02018,2.02018,2.02018,1659572280,2022-08-04T00:18:00
1.97542,1.97542,1.97542,1.97542,1659205200,2022-07-30T18:20:00
1.93758,1.93758,1.93758,1.93758,1659175500,2022-07-30T10:05:00
1.12141,1.12141,1.12141,1.12141,1659002940,2022-07-28T10:09:00
0.831094,0.831094,0.831094,0.831094,1659002820,2022-07-28T10:07:00
1.0885,1.0885,1.0885,1.0885,1659002760,2022-07-28T10:06:00
1.096,1.096,1.096,1.096,1658996940,2022-07-28T08:29:00
1.09617,1.09617,1.09617,1.09617,1658993220,2022-07-28T07:27:00
1.44833,1.44833,1.44833,1.44833,1658991540,2022-07-28T06:59:00
1.81272,1.81272,1.81272,1.81272,1658991300,2022-07-28T06:55:00
2.20225,2.20225,2.20225,2.20225,1658991240,2022-07-28T06:54:00
1.2561,1.2561,1.2561,1.2561,1658982540,2022-07-28T04:29:00
0.723516,0.723516,0.723516,0.723516,1658962920,2022-07-27T23:02:00
0.950965,0.950965,0.950965,0.950965,1658962320,2022-07-27T22:52:00
1.27135,1.27135,1.27135,1.27135,1658960460,2022-07-27T22:21:00
1.58994,1.58994,1.58994,1.58994,1658943480,2022-07-27T17:38:00
2.12493,2.12493,2.12493,2.12493,1658943300,2022-07-27T17:35:00
2.75236,2.75236,2.75236,2.75236,1658942340,2022-07-27T17:19:00
2.39674,2.39674,2.39674,2.39674,1658604900,2022-07-23T19:35:00
1.93214,1.93214,1.93214,1.93214,1658134380,2022-07-18T08:53:00
2.42095,2.42095,2.42095,2.42095,1658128020,2022-07-18T07:07:00
2.04564,2.04564,2.04564,2.04564,1657932240,2022-07-16T00:44:00
2.08384,2.08384,2.08384,2.08384,1657869420,2022-07-15T07:17:00
2.52793,2.52793,2.52793,2.52793,1657610040,2022-07-12T07:14:00
3.34348,3.34348,3.34348,3.34348,1657609200,2022-07-12T07:00:00
3.0572,3.0572,3.0572,3.0572,1657421940,2022-07-10T02:59:00
2.03696,2.03696,2.03696,2.03696,1657311360,2022-07-08T20:16:00
1.47952,1.47952,1.47952,1.47952,1657163700,2022-07-07T03:15:00
1.08889,1.08889,1.08889,1.08889,1657155120,2022-07-07T00:52:00
1.01348,1.01348,1.01348,1.01348,1657114980,2022-07-06T13:43:00
1.29807,1.29807,1.29807,1.29807,1657083060,2022-07-06T04:51:00
1.69358,1.69358,1.69358,1.69358,1657081500,2022-07-06T04:25:00
2.20118,2.20118,2.20118,2.20118,1657032480,2022-07-05T14:48:00
3.05651,3.05651,3.05651,3.05651,1656994440,2022-07-05T04:14:00
