price_open,price_high,price_low,price_close,timestamp,date
3.74802,3.74802,3.74802,3.74802,1680506400,2023-04-03T07:20:00
4.5345,4.5345,4.5345,4.5345,1680473040,2023-04-02T22:04:00
4.6103,4.6103,4.6103,4.6103,1680419880,2023-04-02T07:18:00
4.40108,4.40108,4.40108,4.40108,1680343920,2023-04-01T10:12:00
4.17422,4.17422,4.17422,4.17422,1680274620,2023-03-31T14:57:00
4.2443,4.2443,4.2443,4.2443,1680159240,2023-03-30T06:54:00
4.28855,4.28855,4.28855,4.28855,1680143100,2023-03-30T02:25:00
4.28904,4.28904,4.28904,4.28904,1680140700,2023-03-30T01:45:00
4.99312,4.99312,4.99312,4.99312,1680109440,2023-03-29T17:04:00
4.40171,4.40171,4.40171,4.40171,1680099720,2023-03-29T14:22:00
4.31841,4.4143,4.31841,4.4143,1679997720,2023-03-28T10:02:00
4.33284,4.33284,4.33284,4.33284,1679997600,2023-03-28T10:00:00
3.87798,3.87798,3.87798,3.87798,1679997540,2023-03-28T09:59:00
3.79023,4.58496,3.79023,3.8858,1679997480,2023-03-28T09:58:00
4.90283,4.90283,4.90283,4.90283,1679942340,2023-03-27T18:39:00
5.42857,5.42857,5.42857,5.42857,1679894220,2023-03-27T05:17:00
4.96609,4.96609,4.96609,4.96609,1679889840,2023-03-27T04:04:00
4.33612,4.33612,4.33612,4.33612,1679789580,2023-03-26T00:13:00
4.37938,4.37938,4.37938,4.37938,1679783160,2023-03-25T22:26:00
4.72836,4.72836,4.66675,4.66675,1679731500,2023-03-25T08:05:00
4.94344,4.94344,4.94344,4.94344,1679717160,2023-03-25T04:06:00
5.24179,5.24179,5.24179,5.24179,1679670540,2023-03-24T15:09:00
4.86168,4.93978,4.86168,4.93978,1679648040,2023-03-24T08:54:00
4.06202,4.06202,4.06202,4.06202,1679637780,2023-03-24T06:03:00
4.50957,4.50957,4.50957,4.50957,1679623440,2023-03-24T02:04:00
4.5022,4.5022,4.5022,4.5022,1679618940,2023-03-24T00:49:00
4.49477,4.49477,4.49477,4.49477,1679615220,2023-03-23T23:47:00
5.31727,5.31727,5.31727,5.31727,1679613660,2023-03-23T23:21:00
5.21103,5.21103,5.21103,5.21103,1679590260,2023-03-23T16:51:00
5.09447,5.26468,5.09447,5.26468,1679589600,2023-03-23T16:40:00
4.82729,4.82729,4.82729,4.82729,1679553780,2023-03-23T06:43:00
4.50802,4.50802,4.50802,4.50802,1679525880,2023-03-22T22:58:00
4.28478,4.36928,4.28478,4.36928,1679508900,2023-03-22T18:15:00
4.13042,4.13042,4.13042,4.13042,1679508840,2023-03-22T18:14:00
3.83214,3.83214,3.83214,3.83214,1679508780,2023-03-22T18:13:00
3.85141,3.85141,3.85141,3.85141,1679508720,2023-03-22T18:12:00
3.92828,3.92828,3.92828,3.92828,1679508660,2023-03-22T18:11:00
3.86087,3.86087,3.86087,3.86087,1679508600,2023-03-22T18:10:00
4.55242,4.55242,4.55242,4.55242,1679452200,2023-03-22T02:30:00
4.50679,4.50679,4.50679,4.50679,1679432400,2023-03-21T21:00:00
4.86603,4.86603,4.86603,4.86603,1679413860,2023-03-21T15:51:00
4.70624,4.70624,4.70624,4.70624,1679385060,2023-03-21T07:51:00
4.99512,4.99512,4.99512,4.99512,1679361660,2023-03-21T01:21:00
4.94099,4.94099,4.94099,4.94099,1679361600,2023-03-21T01:20:00
4.78819,4.78819,4.78819,4.78819,1679302080,2023-03-20T08:48:00
5.21557,5.21557,5.21557,5.21557,1679275260,2023-03-20T01:21:00
4.80896,4.80896,4.80896,4.80896,1679223480,2023-03-19T10:58:00
5.38278,5.38278,5.38278,5.38278,1679212140,2023-03-19T07:49:00
4.86685,4.86685,4.86685,4.86685,1679156580,2023-03-18T16:23:00
4.63352,4.70031,4.63352,4.70031,1679144160,2023-03-18T12:56:00
5.16633,5.16633,5.16633,5.16633,1679135820,2023-03-18T10:37:00
5.59022,5.59022,5.59022,5.59022,1679135100,2023-03-18T10:25:00
5.50341,5.50341,5.50341,5.50341,1679134980,2023-03-18T10:23:00
5.47665,5.47665,5.47665,5.47665,1679102580,2023-03-18T01:23:00
5.49712,5.49712,5.49712,5.49712,1679030580,2023-03-17T05:23:00
4.62185,4.62185,4.62185,4.62185,1678998120,2023-03-16T20:22:00
6.30063,6.30063,6.30063,6.30063,1678985640,2023-03-16T16:54:00
5.16467,5.16467,5.16467,5.16467,1678959000,2023-03-16T09:30:00
5.3972,5.3972,5.3972,5.3972,1678931220,2023-03-16T01:47:00
6.01657,6.01657,6.01657,6.01657,1678820220,2023-03-14T18:57:00
5.70909,5.70909,5.70909,5.70909,1678819320,2023-03-14T18:42:00
5.33822,5.33822,5.33822,5.33822,1678818600,2023-03-14T18:30:00
5.64869,5.64869,5.64869,5.64869,1678817040,2023-03-14T18:04:00
5.32025,5.32025,5.32025,5.32025,1678795920,2023-03-14T12:12:00
5.05488,5.05488,5.05488,5.05488,1678781640,2023-03-14T08:14:00
4.97882,4.97882,4.97882,4.97882,1678780740,2023-03-14T07:59:00
4.97806,4.97806,4.97806,4.97806,1678779900,2023-03-14T07:45:00
5.17093,5.17093,5.17093,5.17093,1678772520,2023-03-14T05:42:00
5.37605,5.37605,5.37605,5.37605,1678766880,2023-03-14T04:08:00
4.82761,4.82761,4.82761,4.82761,1678669200,2023-03-13T01:00:00
4.36388,4.36388,4.36388,4.36388,1678538640,2023-03-11T12:44:00
4.56876,4.56876,4.56876,4.56876,1678447980,2023-03-10T11:33:00
4.65516,4.65516,4.65516,4.65516,1678422060,2023-03-10T04:21:00
4.7302,4.7302,4.7302,4.7302,1678421700,2023-03-10T04:15:00
4.97931,4.97931,4.97931,4.97931,1678283160,2023-03-08T13:46:00
4.90845,4.90845,4.90845,4.90845,1678275060,2023-03-08T11:31:00
4.42534,4.42534,4.42534,4.42534,1678268880,2023-03-08T09:48:00
5.00626,5.00626,5.00626,5.00626,1678226040,2023-03-07T21:54:00
4.87475,4.87475,4.87475,4.87475,1678150980,2023-03-07T01:03:00
4.5523,4.5523,4.5523,4.5523,1678127340,2023-03-06T18:29:00
3.96061,3.96061,3.96061,3.96061,1678105440,2023-03-06T12:24:00
5.11664,5.11664,5.11664,5.11664,1678005480,2023-03-05T08:38:00
4.72224,4.72224,4.72224,4.72224,1677952620,2023-03-04T17:57:00
4.14645,4.14645,4.14645,4.14645,1677952440,2023-03-04T17:54:00
4.79085,4.79085,4.79085,4.79085,1677922080,2023-03-04T09:28:00
4.25061,4.25061,4.25061,4.25061,1677866040,2023-03-03T17:54:00
4.55088,4.55088,4.55088,4.55088,1677799260,2023-03-02T23:21:00
4.91059,4.91059,4.91059,4.91059,1677666060,2023-03-01T10:21:00
4.96637,4.96637,4.96637,4.96637,1677665580,2023-03-01T10:13:00
4.90153,4.90153,4.90153,4.90153,1677657000,2023-03-01T07:50:00
4.3874,4.3874,4.3874,4.3874,1677576480,2023-02-28T09:28:00
4.69023,4.69023,4.46485,4.46485,1677515940,2023-02-27T16:39:00
4.53852,4.53852,4.53852,4.53852,1677515880,2023-02-27T16:38:00
4.79307,4.79307,4.60947,4.60947,1677515820,2023-02-27T16:37:00
5.33043,5.33043,5.33043,5.33043,1677509940,2023-02-27T14:59:00
5.32174,5.32174,5.32174,5.32174,1677497640,2023-02-27T11:34:00
5.39287,5.39287,5.39287,5.39287,1677449100,2023-02-26T22:05:00
6.37239,6.37239,6.37239,6.37239,1677435000,2023-02-26T18:10:00
5.60671,5.65391,5.60671,5.65391,1677364140,2023-02-25T22:29:00
5.53617,5.53617,5.53617,5.53617,1677364080,2023-02-25T22:28:00
5.21024,5.21024,5.21024,5.21024,1677309240,2023-02-25T07:14:00
5.37573,5.37573,5.37573,5.37573,1677302580,2023-02-25T05:23:00
5.62117,5.62117,5.53178,5.53178,1677300000,2023-02-25T04:40:00
5.41856,5.41856,5.41856,5.41856,1677179460,2023-02-23T19:11:00
5.25429,5.25429,5.25429,5.25429,1677145380,2023-02-23T09:43:00
4.26102,4.42377,4.26102,4.42377,1677107880,2023-02-22T23:18:00
4.79164,4.79164,4.79164,4.79164,1677084900,2023-02-22T16:55:00
4.51428,4.51428,4.45414,4.45414,1677062400,2023-02-22T10:40:00
