price_open,price_high,price_low,price_close,timestamp,date
6.29635e-06,6.29635e-06,6.29635e-06,6.29635e-06,1661648880,2022-08-28T01:08:00
2.36425e-06,2.36425e-06,2.36425e-06,2.36425e-06,1661609580,2022-08-27T14:13:00
0.000453374,0.000453374,0.000453374,0.000453374,1661609280,2022-08-27T14:08:00
0.963798,0.963798,0.963798,0.963798,1629433440,2021-08-20T04:24:00
1.12173,1.12173,1.12173,1.12173,1626785400,2021-07-20T12:50:00
1.6458,1.6458,1.6458,1.6458,1625823240,2021-07-09T09:34:00
1.89688,1.89688,1.89688,1.89688,1625130180,2021-07-01T09:03:00
2.03974,2.03974,2.03974,2.03974,1625118600,2021-07-01T05:50:00
2.18075,2.18075,2.18075,2.18075,1623476160,2021-06-12T05:36:00
2.57531,2.57531,2.57531,2.57531,1622946900,2021-06-06T02:35:00
2.69593,2.69593,2.69593,2.69593,1622670360,2021-06-02T21:46:00
2.54961,2.54961,2.54961,2.54961,1621681140,2021-05-22T10:59:00
2.35269,2.35269,2.35269,2.35269,1618191720,2021-04-12T01:42:00
2.47569,2.47569,2.47569,2.47569,1618172580,2021-04-11T20:23:00
2.09612,2.09612,2.09612,2.09612,1616921460,2021-03-28T08:51:00
2.21634,2.21634,2.21634,2.21634,1614786960,2021-03-03T15:56:00
1.88975,1.88975,1.88975,1.88975,1613550780,2021-02-17T08:33:00
2.30713,2.30713,2.30713,2.30713,1613541660,2021-02-17T06:01:00
3.07568,3.07568,3.07568,3.07568,1613488560,2021-02-16T15:16:00
1.86171,1.86171,1.86171,1.86171,1613477040,2021-02-16T12:04:00
1.20656,1.20656,1.20656,1.20656,1611619860,2021-01-26T00:11:00
1.50493,1.50493,1.50493,1.50493,1611565260,2021-01-25T09:01:00
1.63993,1.63993,1.63993,1.63993,1611153480,2021-01-20T14:38:00
1.59023,1.59023,1.59023,1.59023,1611065100,2021-01-19T14:05:00
1.07978,1.07978,1.07978,1.07978,1610992920,2021-01-18T18:02:00
1.05178,1.05178,1.05178,1.05178,1610947560,2021-01-18T05:26:00
1.14123,1.14123,1.14123,1.14123,1610914740,2021-01-17T20:19:00
1.21826,1.21826,1.21826,1.21826,1610910480,2021-01-17T19:08:00
1.30773,1.30773,1.30773,1.30773,1610848500,2021-01-17T01:55:00
1.32718,1.32718,1.32718,1.32718,1610639400,2021-01-14T15:50:00
1.42302,1.42302,1.42302,1.42302,1610620320,2021-01-14T10:32:00
1.37138,1.37138,1.37138,1.37138,1610551740,2021-01-13T15:29:00
1.6804,1.6804,1.6804,1.6804,1610151300,2021-01-09T00:15:00
1.5177,1.5177,1.5177,1.5177,1609861440,2021-01-05T15:44:00
1.82542,1.82542,1.82542,1.82542,1609861380,2021-01-05T15:43:00
1.5672,1.5672,1.5672,1.5672,1609585020,2021-01-02T10:57:00
1.72023,1.72023,1.72023,1.72023,1609556940,2021-01-02T03:09:00
1.98054,1.98054,1.98054,1.98054,1609501800,2021-01-01T11:50:00
