price_open,price_high,price_low,price_close,timestamp,date
0.624477,0.624477,0.624477,0.624477,1673333820,2023-01-10T06:57:00
0.846811,0.846811,0.846811,0.846811,1670421600,2022-12-07T14:00:00
1.12174,1.12174,1.12174,1.12174,1670408220,2022-12-07T10:17:00
1.48517,1.48517,1.48517,1.48517,1666317840,2022-10-21T02:04:00
1.77403,1.77403,1.77403,1.77403,1666202880,2022-10-19T18:08:00
2.09821,2.09821,2.09821,2.09821,1662711360,2022-09-09T08:16:00
1.99323,1.99323,1.99323,1.99323,1662680040,2022-09-08T23:34:00
2.04065,2.04065,2.04065,2.04065,1662592080,2022-09-07T23:08:00
2.10857,2.10857,2.10857,2.10857,1662588840,2022-09-07T22:14:00
1.54188,1.54188,1.54188,1.54188,1661232360,2022-08-23T05:26:00
1.11153,1.11153,1.11153,1.11153,1661171040,2022-08-22T12:24:00
0.740447,0.740447,0.740447,0.740447,1655411520,2022-06-16T20:32:00
1.29814,1.29814,1.29814,1.29814,1652489760,2022-05-14T00:56:00
1.55763,1.55763,1.55763,1.55763,1652233080,2022-05-11T01:38:00
2.10081,2.10081,2.10081,2.10081,1649887260,2022-04-13T22:01:00
2.08458,2.08458,2.08458,2.08458,1644326820,2022-02-08T13:27:00
2.12929,2.12929,2.12929,2.12929,1641720540,2022-01-09T09:29:00
2.26782,2.26782,2.26782,2.26782,1641619140,2022-01-08T05:19:00
3.13194,3.13194,3.13194,3.13194,1638967320,2021-12-08T12:42:00
3.10395,3.10395,3.10395,3.10395,1635041040,2021-10-24T02:04:00
2.74636,2.74636,2.74636,2.74636,1633715040,2021-10-08T17:44:00
2.3907,2.3907,2.3907,2.3907,1630233480,2021-08-29T10:38:00
2.53176,2.53176,2.53176,2.53176,1629718860,2021-08-23T11:41:00
2.47731,2.47731,2.47731,2.47731,1628513700,2021-08-09T12:55:00
2.15797,2.15797,2.15797,2.15797,1627793520,2021-08-01T04:52:00
1.73756,1.73756,1.73756,1.73756,1625863500,2021-07-09T20:45:00
1.81511,1.81511,1.81511,1.81511,1625337840,2021-07-03T18:44:00
1.83977,1.83977,1.83977,1.83977,1625304300,2021-07-03T09:25:00
1.90941,1.90941,1.90941,1.90941,1625106540,2021-07-01T02:29:00
1.94106,1.94106,1.94106,1.94106,1625100480,2021-07-01T00:48:00
1.92192,1.92192,1.92192,1.92192,1625098380,2021-07-01T00:13:00
1.69829,1.69829,1.69829,1.69829,1624577460,2021-06-24T23:31:00
1.68854,1.68854,1.68854,1.68854,1624443180,2021-06-23T10:13:00
1.61086,1.61086,1.61086,1.61086,1624393800,2021-06-22T20:30:00
1.60729,1.60729,1.60729,1.60729,1624392900,2021-06-22T20:15:00
1.57716,1.57716,1.57716,1.57716,1624392600,2021-06-22T20:10:00
2.01153,2.01153,2.01153,2.01153,1623387120,2021-06-11T04:52:00
2.12713,2.12713,2.12713,2.12713,1622536500,2021-06-01T08:35:00
1.98658,1.98658,1.98658,1.98658,1622412840,2021-05-30T22:14:00
2.91554,2.91554,2.91554,2.91554,1621241580,2021-05-17T08:53:00
