price_open,price_high,price_low,price_close,timestamp,date
1.36465,1.36465,1.36465,1.36465,1680496080,2023-04-03T04:28:00
1.37637,1.37637,1.37637,1.37637,1680463260,2023-04-02T19:21:00
1.39999,1.39999,1.39999,1.39999,1680319680,2023-04-01T03:28:00
1.45936,1.45936,1.45936,1.45936,1680231480,2023-03-31T02:58:00
1.39999,1.39999,1.39999,1.39999,1680203760,2023-03-30T19:16:00
1.3655,1.3655,1.3655,1.3655,1679856720,2023-03-26T18:52:00
25.37,25.37,25.2453,25.2453,1679814900,2023-03-26T07:15:00
1.39041,1.39041,1.39041,1.39041,1679780640,2023-03-25T21:44:00
1.34552,1.34552,1.34552,1.34552,1679780400,2023-03-25T21:40:00
1.3446,1.3446,1.3446,1.3446,1679779440,2023-03-25T21:24:00
1.35619,1.35619,1.35619,1.35619,1679387280,2023-03-21T08:28:00
1.37592,1.37592,1.37592,1.37592,1679135520,2023-03-18T10:32:00
1.39764,1.39764,1.39764,1.39764,1679135280,2023-03-18T10:28:00
1.32957,1.32957,1.32957,1.32957,1678747920,2023-03-13T22:52:00
1.21996,1.21996,1.21996,1.21996,1678514160,2023-03-11T05:56:00
1.23643,1.23643,1.23643,1.23643,1678398540,2023-03-09T21:49:00
1.28718,1.28718,1.28718,1.28718,1678004640,2023-03-05T08:24:00
1.32043,1.32043,1.32043,1.32043,1677850200,2023-03-03T13:30:00
1.35936,1.35936,1.35936,1.35936,1677626820,2023-02-28T23:27:00
1.41916,1.41916,1.41916,1.41916,1677576480,2023-02-28T09:28:00
1.44971,1.44971,1.44971,1.44971,1677505740,2023-02-27T13:49:00
1.47369,1.47369,1.47369,1.47369,1677503520,2023-02-27T13:12:00
1.55138,1.55138,1.55138,1.55138,1677502200,2023-02-27T12:50:00
1.57853,1.57853,1.57853,1.57853,1677498900,2023-02-27T11:55:00
1.59435,1.59435,1.59435,1.59435,1677492240,2023-02-27T10:04:00
1.62081,1.62081,1.62081,1.62081,1677485400,2023-02-27T08:10:00
1.6314,1.6314,1.6314,1.6314,1677485340,2023-02-27T08:09:00
1.67119,1.67119,1.67119,1.67119,1677483420,2023-02-27T07:37:00
1.67863,1.67863,1.67863,1.67863,1677481560,2023-02-27T07:06:00
1.60002,1.60002,1.60002,1.60002,1677481500,2023-02-27T07:05:00
1.55814,1.55814,1.55814,1.55814,1677481080,2023-02-27T06:58:00
1.51807,1.51807,1.51807,1.51807,1677480900,2023-02-27T06:55:00
1.51452,1.51452,1.51452,1.51452,1677480660,2023-02-27T06:51:00
1.43691,1.43691,1.43691,1.43691,1677480420,2023-02-27T06:47:00
1.39002,1.4203,1.39002,1.4203,1677480360,2023-02-27T06:46:00
1.30975,1.30975,1.30975,1.30975,1677415860,2023-02-26T12:51:00
1.30681,1.30681,1.30681,1.30681,1677259680,2023-02-24T17:28:00
1.35945,1.35945,1.35945,1.35945,1676926380,2023-02-20T20:53:00
1.34307,1.34307,1.34307,1.34307,1676634000,2023-02-17T11:40:00
1.32555,1.32555,1.32555,1.32555,1676494440,2023-02-15T20:54:00
1.26757,1.26757,1.26757,1.26757,1676356200,2023-02-14T06:30:00
1.28031,1.28031,1.28031,1.28031,1676007000,2023-02-10T05:30:00
1.32702,1.32702,1.32702,1.32702,1675255800,2023-02-01T12:50:00
1.33603,1.33603,1.33603,1.33603,1675255260,2023-02-01T12:41:00
1.28177,1.28177,1.28177,1.28177,1674686580,2023-01-25T22:43:00
1.2698,1.2698,1.2698,1.2698,1674618600,2023-01-25T03:50:00
1.33275,1.33275,1.33275,1.33275,1674569760,2023-01-24T14:16:00
1.3573,1.3573,1.3573,1.3573,1674379800,2023-01-22T09:30:00
1.33571,1.33571,1.33571,1.33571,1674257880,2023-01-20T23:38:00
1.32402,1.32402,1.32402,1.32402,1674092220,2023-01-19T01:37:00
1.38969,1.38969,1.38969,1.38969,1674054180,2023-01-18T15:03:00
1.29875,1.29875,1.29875,1.29875,1673658480,2023-01-14T01:08:00
1.21692,1.21692,1.21692,1.21692,1673487060,2023-01-12T01:31:00
1.20288,1.20288,1.20288,1.20288,1673311440,2023-01-10T00:44:00
1.16588,1.16588,1.16588,1.16588,1673297100,2023-01-09T20:45:00
1.19421,1.19421,1.19421,1.19421,1672727040,2023-01-03T06:24:00
1.29914,1.29914,1.29914,1.29914,1672657920,2023-01-02T11:12:00
1.29344,1.29344,1.29155,1.29155,1672625040,2023-01-02T02:04:00
1.2187,1.2187,1.2187,1.2187,1672624200,2023-01-02T01:50:00
1.19637,1.19637,1.19637,1.19637,1672589940,2023-01-01T16:19:00
1.16566,1.16566,1.16566,1.16566,1672565640,2023-01-01T09:34:00
1.17614,1.17614,1.17614,1.17614,1672543800,2023-01-01T03:30:00
1.13148,1.13148,1.13148,1.13148,1672519800,2022-12-31T20:50:00
1.13387,1.13387,1.13387,1.13387,1672513260,2022-12-31T19:01:00
1.12927,1.12927,1.12927,1.12927,1672506000,2022-12-31T17:00:00
1.1021,1.1021,1.1021,1.1021,1672407540,2022-12-30T13:39:00
1.1086,1.1086,1.1086,1.1086,1672139340,2022-12-27T11:09:00
1.11083,1.11083,1.11083,1.11083,1672117140,2022-12-27T04:59:00
1.10197,1.10197,1.10197,1.10197,1671530100,2022-12-20T09:55:00
1.09983,1.09983,1.09983,1.09983,1671527940,2022-12-20T09:19:00
1.09834,1.09834,1.09834,1.09834,1671480300,2022-12-19T20:05:00
1.17631,1.17631,1.17631,1.17631,1671313320,2022-12-17T21:42:00
1.12353,1.12353,1.12353,1.12353,1671313140,2022-12-17T21:39:00
1.1221,1.1221,1.1221,1.1221,1671306480,2022-12-17T19:48:00
1.12334,1.12334,1.12334,1.12334,1671232140,2022-12-16T23:09:00
1.14251,1.14251,1.14251,1.14251,1671184320,2022-12-16T09:52:00
1.13573,1.13573,1.13573,1.13573,1671184140,2022-12-16T09:49:00
1.17236,1.17236,1.17236,1.17236,1671181860,2022-12-16T09:11:00
1.22034,1.22034,1.22034,1.22034,1671045720,2022-12-14T19:22:00
1.25317,1.25317,1.25317,1.25317,1671035220,2022-12-14T16:27:00
1.19873,1.19873,1.19873,1.19873,1670960040,2022-12-13T19:34:00
1.21425,1.21425,1.21425,1.21425,1670793540,2022-12-11T21:19:00
1.21731,1.21731,1.21731,1.21731,1670351160,2022-12-06T18:26:00
1.24817,1.24817,1.24817,1.24817,1670184420,2022-12-04T20:07:00
1.24794,1.24794,1.24794,1.24794,1670174460,2022-12-04T17:21:00
1.24823,1.24823,1.24823,1.24823,1670106840,2022-12-03T22:34:00
1.2589,1.2589,1.2589,1.2589,1669925280,2022-12-01T20:08:00
1.25848,1.25848,1.25848,1.25848,1669840140,2022-11-30T20:29:00
1.24734,1.24734,1.24734,1.24734,1669827540,2022-11-30T16:59:00
1.23924,1.23924,1.23924,1.23924,1669769340,2022-11-30T00:49:00
1.21152,1.21152,1.21152,1.21152,1669729080,2022-11-29T13:38:00
1.17707,1.17707,1.17707,1.17707,1669613520,2022-11-28T05:32:00
1.19672,1.19672,1.19672,1.19672,1669539720,2022-11-27T09:02:00
1.19846,1.19846,1.19846,1.19846,1669461360,2022-11-26T11:16:00
1.19604,1.19604,1.19604,1.19604,1669426020,2022-11-26T01:27:00
1.15339,1.15339,1.15339,1.15339,1669170720,2022-11-23T02:32:00
1.14491,1.14491,1.14491,1.14491,1668996600,2022-11-21T02:10:00
1.18699,1.18699,1.18699,1.18699,1668990420,2022-11-21T00:27:00
1.20369,1.20369,1.20369,1.20369,1668944640,2022-11-20T11:44:00
1.23305,1.23305,1.23305,1.23305,1668659640,2022-11-17T04:34:00
1.26303,1.26303,1.26303,1.26303,1668596220,2022-11-16T10:57:00
1.2649,1.2649,1.2649,1.2649,1668544200,2022-11-15T20:30:00
1.29046,1.29046,1.29046,1.29046,1668413700,2022-11-14T08:15:00
1.26227,1.26227,1.26227,1.26227,1668409980,2022-11-14T07:13:00
1.25632,1.25632,1.25632,1.25632,1668399480,2022-11-14T04:18:00
1.31139,1.31139,1.31139,1.31139,1668386340,2022-11-14T00:39:00
1.34193,1.34193,1.34193,1.34193,1668385920,2022-11-14T00:32:00
1.35366,1.35366,1.35366,1.35366,1668355500,2022-11-13T16:05:00
1.35144,1.35144,1.35144,1.35144,1668346740,2022-11-13T13:39:00
1.38233,1.38233,1.38233,1.38233,1668311040,2022-11-13T03:44:00
2.08902,2.08902,2.08902,2.08902,1668130800,2022-11-11T01:40:00
2.07077,2.07077,2.07077,2.07077,1668111960,2022-11-10T20:26:00
1.42551,1.42551,1.42551,1.42551,1668109680,2022-11-10T19:48:00
1.4191,1.4191,1.4191,1.4191,1668091980,2022-11-10T14:53:00
1.3388,1.3388,1.3388,1.3388,1668057060,2022-11-10T05:11:00
1.28792,1.28792,1.28792,1.28792,1668047100,2022-11-10T02:25:00
1.31662,1.31662,1.31662,1.31662,1668036960,2022-11-09T23:36:00
1.41624,1.41624,1.41624,1.41624,1667991360,2022-11-09T10:56:00
1.49301,1.49301,1.49301,1.49301,1667979840,2022-11-09T07:44:00
1.52613,1.52613,1.52613,1.52613,1667940420,2022-11-08T20:47:00
1.60094,1.60094,1.60094,1.60094,1667917620,2022-11-08T14:27:00
1.62314,1.62314,1.62314,1.62314,1667880240,2022-11-08T04:04:00
1.61946,1.61946,1.61946,1.61946,1667848860,2022-11-07T19:21:00
1.6234,1.6234,1.6234,1.6234,1667783520,2022-11-07T01:12:00
1.57403,1.57403,1.57403,1.57403,1667783460,2022-11-07T01:11:00
