price_open,price_high,price_low,price_close,timestamp,date
2.80809,2.80809,2.80809,2.80809,1680228960,2023-03-31T02:16:00
2.78463,2.78463,2.78463,2.78463,1679456400,2023-03-22T03:40:00
2.95777,2.95777,2.95777,2.95777,1679172720,2023-03-18T20:52:00
2.66065,2.66065,2.66065,2.66065,1679046180,2023-03-17T09:43:00
2.59662,2.59662,2.59662,2.59662,1678787460,2023-03-14T09:51:00
2.43784,2.43784,2.43784,2.43784,1678649220,2023-03-12T19:27:00
2.47156,2.47156,2.47156,2.47156,1678014540,2023-03-05T11:09:00
2.58384,2.58384,2.58384,2.58384,1677747720,2023-03-02T09:02:00
2.59121,2.59121,2.59121,2.59121,1677490500,2023-02-27T09:35:00
2.57253,2.57253,2.57253,2.57253,1677261420,2023-02-24T17:57:00
2.74453,2.74453,2.74453,2.74453,1677150000,2023-02-23T11:00:00
3.20669,3.20669,3.20669,3.20669,1676893380,2023-02-20T11:43:00
3.41106,3.41106,3.41106,3.41106,1676893320,2023-02-20T11:42:00
2.93386,2.93386,2.93386,2.93386,1676852400,2023-02-20T00:20:00
2.7168,2.7168,2.7168,2.7168,1676852340,2023-02-20T00:19:00
2.80676,2.80676,2.80676,2.80676,1676852160,2023-02-20T00:16:00
2.78201,2.78201,2.78201,2.78201,1676851800,2023-02-20T00:10:00
2.63513,2.63513,2.63513,2.63513,1676778780,2023-02-19T03:53:00
2.51845,2.51845,2.51845,2.51845,1676765280,2023-02-19T00:08:00
2.39608,2.39608,2.39608,2.39608,1676556840,2023-02-16T14:14:00
2.21761,2.21761,2.21761,2.21761,1676555400,2023-02-16T13:50:00
2.1444,2.1444,2.1444,2.1444,1676537760,2023-02-16T08:56:00
2.35674,2.35674,2.35674,2.35674,1676537040,2023-02-16T08:44:00
2.36967,2.36967,2.36967,2.36967,1676447280,2023-02-15T07:48:00
2.32957,2.32957,2.32957,2.32957,1676074680,2023-02-11T00:18:00
2.28762,2.28762,2.28762,2.28762,1676074620,2023-02-11T00:17:00
2.32884,2.32884,2.32884,2.32884,1676008500,2023-02-10T05:55:00
2.46734,2.46734,2.46734,2.46734,1675780980,2023-02-07T14:43:00
2.26384,2.26384,2.26384,2.26384,1675604640,2023-02-05T13:44:00
2.12654,2.12654,2.12654,2.12654,1675569840,2023-02-05T04:04:00
2.13061,2.13061,2.13061,2.13061,1675537440,2023-02-04T19:04:00
2.27279,2.27279,2.27279,2.27279,1675523760,2023-02-04T15:16:00
2.66563,2.66563,2.66563,2.66563,1675523640,2023-02-04T15:14:00
2.82857,2.82857,2.82857,2.82857,1675502820,2023-02-04T09:27:00
2.672,2.672,2.672,2.672,1675125720,2023-01-31T00:42:00
2.86959,2.86959,2.86959,2.86959,1675066440,2023-01-30T08:14:00
2.91299,2.91299,2.91299,2.91299,1674996180,2023-01-29T12:43:00
2.85613,2.85613,2.85613,2.85613,1674996060,2023-01-29T12:41:00
3.88169,3.88169,3.88169,3.88169,1674954900,2023-01-29T01:15:00
3.61424,3.61424,3.61424,3.61424,1674768720,2023-01-26T21:32:00
3.86861,3.86861,3.86861,3.86861,1674511320,2023-01-23T22:02:00
4.001,4.001,4.001,4.001,1674484860,2023-01-23T14:41:00
3.92982,3.92982,3.92982,3.92982,1673857380,2023-01-16T08:23:00
3.97489,3.97489,3.97489,3.97489,1673842620,2023-01-16T04:17:00
3.87419,3.87419,3.87419,3.87419,1673842260,2023-01-16T04:11:00
2.99401,2.99401,2.99401,2.99401,1673583180,2023-01-13T04:13:00
2.9998,2.9998,2.9998,2.9998,1673582880,2023-01-13T04:08:00
3.02072,3.02072,3.02072,3.02072,1673566740,2023-01-12T23:39:00
3.23609,3.23609,3.23609,3.23609,1673557920,2023-01-12T21:12:00
3.00725,3.00725,3.00725,3.00725,1673269740,2023-01-09T13:09:00
2.91831,2.91831,2.91831,2.91831,1673049120,2023-01-06T23:52:00
2.999,2.999,2.999,2.999,1672998600,2023-01-06T09:50:00
3.26219,3.26219,3.26219,3.26219,1672910160,2023-01-05T09:16:00
3.19646,3.19646,3.19646,3.19646,1672471680,2022-12-31T07:28:00
3.20366,3.20366,3.20366,3.20366,1672464360,2022-12-31T05:26:00
3.21512,3.21512,3.21512,3.21512,1672455780,2022-12-31T03:03:00
3.50561,3.50561,3.50561,3.50561,1672414440,2022-12-30T15:34:00
3.82405,3.82405,3.82405,3.82405,1672391880,2022-12-30T09:18:00
3.85375,3.85375,3.85375,3.85375,1672371480,2022-12-30T03:38:00
3.85902,3.85902,3.85902,3.85902,1672369320,2022-12-30T03:02:00
3.93168,3.93168,3.93168,3.93168,1672230120,2022-12-28T12:22:00
