price_open,price_high,price_low,price_close,timestamp,date
2.18561e-05,2.18561e-05,2.18561e-05,2.18561e-05,1647482580,2022-03-17T02:03:00
2.13416e-05,2.13416e-05,2.13416e-05,2.13416e-05,1646537580,2022-03-06T03:33:00
2.55852e-05,2.55852e-05,2.55852e-05,2.55852e-05,1642562580,2022-01-19T03:23:00
3.14892e-05,3.14892e-05,3.14892e-05,3.14892e-05,1641323580,2022-01-04T19:13:00
3.27903e-05,3.27903e-05,3.27903e-05,3.27903e-05,1640064600,2021-12-21T05:30:00
3.09313e-05,3.09313e-05,3.09313e-05,3.09313e-05,1640019960,2021-12-20T17:06:00
3.1515e-05,3.1515e-05,3.1515e-05,3.1515e-05,1639970940,2021-12-20T03:29:00
3.12687e-05,3.12687e-05,3.12687e-05,3.12687e-05,1639775520,2021-12-17T21:12:00
3.53112e-05,3.53112e-05,3.53112e-05,3.53112e-05,1638957780,2021-12-08T10:03:00
3.78393e-05,3.78393e-05,3.78393e-05,3.78393e-05,1638509940,2021-12-03T05:39:00
3.49233e-05,3.49233e-05,3.49233e-05,3.49233e-05,1637964600,2021-11-26T22:10:00
3.60962e-05,3.60962e-05,3.60962e-05,3.60962e-05,1637407920,2021-11-20T11:32:00
3.85396e-05,3.85396e-05,3.85396e-05,3.85396e-05,1636938000,2021-11-15T01:00:00
3.8188e-05,3.8188e-05,3.8188e-05,3.8188e-05,1636937400,2021-11-15T00:50:00
3.77052e-05,3.77052e-05,3.77052e-05,3.77052e-05,1636288140,2021-11-07T12:29:00
3.4537e-05,3.4537e-05,3.4537e-05,3.4537e-05,1635294540,2021-10-27T00:29:00
3.50859e-05,3.50859e-05,3.50859e-05,3.50859e-05,1635267420,2021-10-26T16:57:00
3.50665e-05,3.50665e-05,3.50665e-05,3.50665e-05,1634953140,2021-10-23T01:39:00
3.16183e-05,3.16183e-05,3.16183e-05,3.16183e-05,1634664840,2021-10-19T17:34:00
3.29655e-05,3.29655e-05,3.29655e-05,3.29655e-05,1634664120,2021-10-19T17:22:00
3.43919e-05,3.43919e-05,3.43919e-05,3.43919e-05,1634614980,2021-10-19T03:43:00
3.57029e-05,3.57029e-05,3.57029e-05,3.57029e-05,1634598720,2021-10-18T23:12:00
3.86916e-05,3.86916e-05,3.86916e-05,3.86916e-05,1634539260,2021-10-18T06:41:00
3.9246e-05,3.9246e-05,3.9246e-05,3.9246e-05,1634473380,2021-10-17T12:23:00
3.94678e-05,3.94678e-05,3.94678e-05,3.94678e-05,1634413800,2021-10-16T19:50:00
4.00346e-05,4.00346e-05,4.00346e-05,4.00346e-05,1634405820,2021-10-16T17:37:00
4.13581e-05,4.13581e-05,4.13581e-05,4.13581e-05,1634395800,2021-10-16T14:50:00
4.31723e-05,4.31723e-05,4.31723e-05,4.31723e-05,1634376120,2021-10-16T09:22:00
4.30169e-05,4.30169e-05,4.30169e-05,4.30169e-05,1634241420,2021-10-14T19:57:00
4.36004e-05,4.36004e-05,4.36004e-05,4.36004e-05,1634217960,2021-10-14T13:26:00
4.1492e-05,4.1492e-05,4.1492e-05,4.1492e-05,1634044380,2021-10-12T13:13:00
4.33239e-05,4.33239e-05,4.33239e-05,4.33239e-05,1634040120,2021-10-12T12:02:00
4.4972e-05,4.4972e-05,4.4972e-05,4.4972e-05,1633892220,2021-10-10T18:57:00
4.45186e-05,4.45186e-05,4.45186e-05,4.45186e-05,1633837380,2021-10-10T03:43:00
4.36336e-05,4.36336e-05,4.36336e-05,4.36336e-05,1633831200,2021-10-10T02:00:00
4.5198e-05,4.5198e-05,4.5198e-05,4.5198e-05,1633826700,2021-10-10T00:45:00
4.48244e-05,4.48244e-05,4.48244e-05,4.48244e-05,1633817340,2021-10-09T22:09:00
4.32429e-05,4.32429e-05,4.32429e-05,4.32429e-05,1633701300,2021-10-08T13:55:00
4.11239e-05,4.11239e-05,4.11239e-05,4.11239e-05,1633579080,2021-10-07T03:58:00
4.10412e-05,4.10412e-05,4.10412e-05,4.10412e-05,1633575540,2021-10-07T02:59:00
4.03532e-05,4.03532e-05,4.03532e-05,4.03532e-05,1633523640,2021-10-06T12:34:00
4.2489e-05,4.2489e-05,4.2489e-05,4.2489e-05,1633502040,2021-10-06T06:34:00
4.43797e-05,4.43797e-05,4.43797e-05,4.43797e-05,1633495860,2021-10-06T04:51:00
5.21657e-05,5.21657e-05,5.21657e-05,5.21657e-05,1633481640,2021-10-06T00:54:00
6.07603e-05,6.07603e-05,6.07603e-05,6.07603e-05,1633474320,2021-10-05T22:52:00
6.33692e-05,6.33692e-05,6.33692e-05,6.33692e-05,1633469580,2021-10-05T21:33:00
6.45206e-05,6.45206e-05,6.45206e-05,6.45206e-05,1633469160,2021-10-05T21:26:00
6.37336e-05,6.37336e-05,6.37336e-05,6.37336e-05,1633444560,2021-10-05T14:36:00
6.44609e-05,6.44609e-05,6.44609e-05,6.44609e-05,1633438380,2021-10-05T12:53:00
6.38126e-05,6.38126e-05,6.38126e-05,6.38126e-05,1633436820,2021-10-05T12:27:00
6.33256e-05,6.33256e-05,6.33256e-05,6.33256e-05,1633435740,2021-10-05T12:09:00
6.23456e-05,6.27287e-05,6.23456e-05,6.27287e-05,1633433280,2021-10-05T11:28:00
6.17287e-05,6.19161e-05,6.17287e-05,6.19161e-05,1633433220,2021-10-05T11:27:00
6.0708e-05,6.0708e-05,6.0708e-05,6.0708e-05,1633431660,2021-10-05T11:01:00
5.89568e-05,5.89568e-05,5.89568e-05,5.89568e-05,1633427160,2021-10-05T09:46:00
5.83877e-05,5.83877e-05,5.83877e-05,5.83877e-05,1633425960,2021-10-05T09:26:00
5.65418e-05,5.65418e-05,5.65418e-05,5.65418e-05,1633425120,2021-10-05T09:12:00
5.70827e-05,5.70827e-05,5.70827e-05,5.70827e-05,1633424100,2021-10-05T08:55:00
6.00187e-05,6.00187e-05,6.00187e-05,6.00187e-05,1633423680,2021-10-05T08:48:00
5.71394e-05,5.71394e-05,5.71394e-05,5.71394e-05,1633423260,2021-10-05T08:41:00
5.43553e-05,5.43553e-05,5.43553e-05,5.43553e-05,1633422780,2021-10-05T08:33:00
5.9464e-05,5.9464e-05,5.9464e-05,5.9464e-05,1633422180,2021-10-05T08:23:00
6.39818e-05,6.39818e-05,6.39818e-05,6.39818e-05,1633421880,2021-10-05T08:18:00
6.49231e-05,6.49231e-05,6.49231e-05,6.49231e-05,1633420500,2021-10-05T07:55:00
6.67291e-05,6.67291e-05,6.67291e-05,6.67291e-05,1633420320,2021-10-05T07:52:00
6.52098e-05,6.52098e-05,6.52098e-05,6.52098e-05,1633419600,2021-10-05T07:40:00
6.35686e-05,6.35686e-05,6.35686e-05,6.35686e-05,1633419120,2021-10-05T07:32:00
6.45923e-05,6.45923e-05,6.45923e-05,6.45923e-05,1633416840,2021-10-05T06:54:00
6.55259e-05,6.55259e-05,6.55259e-05,6.55259e-05,1633412580,2021-10-05T05:43:00
6.5779e-05,6.5779e-05,6.5779e-05,6.5779e-05,1633412280,2021-10-05T05:38:00
6.61357e-05,6.61357e-05,6.61357e-05,6.61357e-05,1633406100,2021-10-05T03:55:00
6.85351e-05,6.85351e-05,6.85351e-05,6.85351e-05,1633404180,2021-10-05T03:23:00
