price_open,price_high,price_low,price_close,timestamp,date
1.94297,1.94297,1.94297,1.94297,1680549660,2023-04-03T19:21:00
1.82025,1.82025,1.82025,1.82025,1680536220,2023-04-03T15:37:00
1.81733,1.81733,1.81733,1.81733,1680536040,2023-04-03T15:34:00
1.85303,1.85303,1.85303,1.85303,1680521160,2023-04-03T11:26:00
1.86336,1.86336,1.86336,1.86336,1680520980,2023-04-03T11:23:00
1.90963,1.90963,1.90963,1.90963,1680465960,2023-04-02T20:06:00
1.94012,1.94012,1.94012,1.94012,1680417000,2023-04-02T06:30:00
1.9504,1.9504,1.9504,1.9504,1680336240,2023-04-01T08:04:00
2.00193,2.00193,2.00193,2.00193,1680299340,2023-03-31T21:49:00
1.99959,1.99959,1.99959,1.99959,1680277620,2023-03-31T15:47:00
1.9947,1.9947,1.9947,1.9947,1680272340,2023-03-31T14:19:00
2.06193,2.06193,2.06193,2.06193,1680265440,2023-03-31T12:24:00
1.98714,1.98714,1.98714,1.98714,1680260760,2023-03-31T11:06:00
1.9707,1.9707,1.9707,1.9707,1680254280,2023-03-31T09:18:00
1.98026,1.98026,1.98026,1.98026,1680152760,2023-03-30T05:06:00
1.67554,1.84438,1.67554,1.84438,1679945100,2023-03-27T19:25:00
1.97784,1.97784,1.97784,1.97784,1679917260,2023-03-27T11:41:00
2.03395,2.03395,2.03395,2.03395,1679810220,2023-03-26T05:57:00
2.03542,2.03542,2.03542,2.03542,1679725260,2023-03-25T06:21:00
2.08199,2.08199,2.08199,2.08199,1679675760,2023-03-24T16:36:00
2.0109,2.0109,2.0109,2.0109,1679669100,2023-03-24T14:45:00
1.98762,1.98762,1.98762,1.98762,1679655840,2023-03-24T11:04:00
2.01254,2.01254,2.01254,2.01254,1679645160,2023-03-24T08:06:00
2.04353,2.04353,2.04353,2.04353,1679631240,2023-03-24T04:14:00
2.06364,2.06364,2.06364,2.06364,1679629560,2023-03-24T03:46:00
2.07939,2.07939,2.07939,2.07939,1679629320,2023-03-24T03:42:00
2.11628,2.11628,2.11628,2.11628,1679612940,2023-03-23T23:09:00
2.13274,2.13274,2.13274,2.13274,1679591460,2023-03-23T17:11:00
2.0047,2.0047,2.0047,2.0047,1679512080,2023-03-22T19:08:00
2.00988,2.00988,2.00988,2.00988,1679510160,2023-03-22T18:36:00
2.0515,2.0515,2.0515,2.0515,1679429340,2023-03-21T20:09:00
2.02889,2.02889,2.02889,2.02889,1679423640,2023-03-21T18:34:00
2.00246,2.00246,2.00246,2.00246,1679395500,2023-03-21T10:45:00
2.037,2.037,2.037,2.037,1679380080,2023-03-21T06:28:00
2.13176,2.13176,2.13176,2.13176,1679285460,2023-03-20T04:11:00
2.25403,2.25403,2.25403,2.25403,1679269680,2023-03-19T23:48:00
2.26289,2.26289,2.26289,2.26289,1679251260,2023-03-19T18:41:00
2.24646,2.24646,2.24646,2.24646,1679250720,2023-03-19T18:32:00
2.22723,2.22723,2.22723,2.22723,1679242800,2023-03-19T16:20:00
2.23903,2.23903,2.23903,2.23903,1679242500,2023-03-19T16:15:00
2.2267,2.2267,2.2267,2.2267,1679228580,2023-03-19T12:23:00
2.21768,2.21768,2.21768,2.21768,1679191080,2023-03-19T01:58:00
2.24143,2.24143,2.24143,2.24143,1679148480,2023-03-18T14:08:00
2.19616,2.19616,2.19616,2.19616,1679140320,2023-03-18T11:52:00
2.18063,2.18063,2.18063,2.18063,1679136540,2023-03-18T10:49:00
2.08686,2.08686,2.08686,2.08686,1679100360,2023-03-18T00:46:00
2.00662,2.00662,2.00662,2.00662,1679060160,2023-03-17T13:36:00
2.07075,2.07075,2.07075,2.07075,1679056080,2023-03-17T12:28:00
2.08654,2.08654,2.08654,2.08654,1679053620,2023-03-17T11:47:00
2.01056,2.01056,2.01056,2.01056,1679022540,2023-03-17T03:09:00
1.94636,1.94636,1.94636,1.94636,1678997280,2023-03-16T20:08:00
1.81095,1.81095,1.81095,1.81095,1678905420,2023-03-15T18:37:00
1.87008,1.87008,1.75785,1.75785,1678904100,2023-03-15T18:15:00
1.74019,1.74019,1.73381,1.73381,1678903260,2023-03-15T18:01:00
1.85312,1.85312,1.85312,1.85312,1678902480,2023-03-15T17:48:00
1.82529,1.82529,1.82529,1.82529,1678902240,2023-03-15T17:44:00
1.96176,1.96176,1.96176,1.96176,1678887600,2023-03-15T13:40:00
1.97305,1.97305,1.97305,1.97305,1678887480,2023-03-15T13:38:00
1.97511,1.97511,1.97511,1.97511,1678887360,2023-03-15T13:36:00
2.04885,2.04885,2.04885,2.04885,1678751460,2023-03-13T23:51:00
2.02581,2.02638,2.02581,2.02638,1678726680,2023-03-13T16:58:00
2.05839,2.05839,2.05839,2.05839,1678718700,2023-03-13T14:45:00
1.9001,1.9001,1.9001,1.9001,1678650180,2023-03-12T19:43:00
