price_open,price_high,price_low,price_close,timestamp,date
5.55527,5.55527,5.55527,5.55527,1647554280,2022-03-17T21:58:00
5.26906,5.26906,5.00355,5.00355,1642950660,2022-01-23T15:11:00
9.31666,9.31666,9.31666,9.31666,1639209780,2021-12-11T08:03:00
10.0044,10.0044,9.55487,9.55487,1638584100,2021-12-04T02:15:00
12.0981,12.0981,12.0981,12.0981,1638583020,2021-12-04T01:57:00
15.4309,15.4309,15.4309,15.4309,1637684640,2021-11-23T16:24:00
14.4982,14.4982,14.4982,14.4982,1634209140,2021-10-14T10:59:00
14.7848,14.7848,14.7848,14.7848,1633780020,2021-10-09T11:47:00
15.1214,15.1214,15.1214,15.1214,1633770960,2021-10-09T09:16:00
12.3034,12.3034,12.3034,12.3034,1632891780,2021-09-29T05:03:00
12.4237,12.4237,12.4237,12.4237,1632548520,2021-09-25T05:42:00
13.1899,13.1899,13.1899,13.1899,1632224880,2021-09-21T11:48:00
15.0086,15.0086,15.0086,15.0086,1631863740,2021-09-17T07:29:00
15.552,15.552,15.552,15.552,1631858100,2021-09-17T05:55:00
16.3051,16.3051,16.3051,16.3051,1631849940,2021-09-17T03:39:00
17.0708,17.0708,17.0708,17.0708,1631849880,2021-09-17T03:38:00
16.8309,16.8309,16.8309,16.8309,1631337180,2021-09-11T05:13:00
20.5725,20.5725,20.5725,20.5725,1630724520,2021-09-04T03:02:00
17.8478,17.8478,17.8478,17.8478,1630427460,2021-08-31T16:31:00
16.8957,16.8957,16.8957,16.8957,1630302960,2021-08-30T05:56:00
17.4807,17.4807,17.4807,17.4807,1630287600,2021-08-30T01:40:00
17.8249,17.8249,17.8249,17.8249,1630280820,2021-08-29T23:47:00
17.9602,17.9602,17.9602,17.9602,1630277340,2021-08-29T22:49:00
17.8012,17.8012,17.8012,17.8012,1630235820,2021-08-29T11:17:00
18.5286,18.5286,18.5286,18.5286,1629704760,2021-08-23T07:46:00
18.1657,18.1657,18.1657,18.1657,1629612480,2021-08-22T06:08:00
18.3761,18.3761,18.3761,18.3761,1629522300,2021-08-21T05:05:00
18.2861,18.2861,18.2861,18.2861,1629448020,2021-08-20T08:27:00
18.5445,18.5445,18.5445,18.5445,1629447180,2021-08-20T08:13:00
17.765,17.765,17.765,17.765,1629255180,2021-08-18T02:53:00
19.1751,19.1751,19.1751,19.1751,1628952180,2021-08-14T14:43:00
17.8031,17.8031,17.8031,17.8031,1628328780,2021-08-07T09:33:00
14.7722,14.7722,14.7722,14.7722,1628070600,2021-08-04T09:50:00
15.4204,15.4204,15.4204,15.4204,1627901940,2021-08-02T10:59:00
14.3712,14.3712,14.3712,14.3712,1627628640,2021-07-30T07:04:00
14.0316,14.0316,14.0316,14.0316,1627298160,2021-07-26T11:16:00
13.9855,13.9855,13.9855,13.9855,1627289100,2021-07-26T08:45:00
12.0885,12.0885,12.0885,12.0885,1626963720,2021-07-22T14:22:00
11.9792,11.9792,11.9792,11.9792,1626955200,2021-07-22T12:00:00
11.9923,11.9923,11.9923,11.9923,1626954420,2021-07-22T11:47:00
11.1132,11.1132,11.1132,11.1132,1626710580,2021-07-19T16:03:00
11.1459,11.1459,11.1459,11.1459,1626709800,2021-07-19T15:50:00
11.1757,11.1757,11.1757,11.1757,1626709740,2021-07-19T15:49:00
11.2067,11.2067,11.2067,11.2067,1626709560,2021-07-19T15:46:00
11.2516,11.2516,11.2516,11.2516,1626708600,2021-07-19T15:30:00
11.2818,11.2818,11.2818,11.2818,1626708360,2021-07-19T15:26:00
11.7679,11.7679,11.7679,11.7679,1626240360,2021-07-14T05:26:00
13.2909,13.2909,13.2909,13.2909,1626001500,2021-07-11T11:05:00
13.3124,13.3124,13.3124,13.3124,1625997300,2021-07-11T09:55:00
13.3603,13.3603,13.3603,13.3603,1625910120,2021-07-10T09:42:00
14.4881,14.4881,14.4881,14.4881,1625704980,2021-07-08T00:43:00
15.2486,15.2486,15.2486,15.2486,1625653620,2021-07-07T10:27:00
15.6336,15.6336,15.6336,15.6336,1625653560,2021-07-07T10:26:00
15.9026,15.9026,15.9026,15.9026,1625639760,2021-07-07T06:36:00
14.9737,14.9737,14.9737,14.9737,1625541960,2021-07-06T03:26:00
14.9073,14.9073,14.9073,14.9073,1625323560,2021-07-03T14:46:00
13.7363,13.7363,13.7363,13.7363,1625229360,2021-07-02T12:36:00
13.7285,13.7285,13.7285,13.7285,1625208180,2021-07-02T06:43:00
