price_open,price_high,price_low,price_close,timestamp,date
0.926655,0.926655,0.926655,0.926655,1673301480,2023-01-09T21:58:00
0.84582,0.84582,0.84582,0.84582,1657956720,2022-07-16T07:32:00
1.43537,1.43537,1.43537,1.43537,1653316140,2022-05-23T14:29:00
1.88509,1.88509,1.88509,1.88509,1647425700,2022-03-16T10:15:00
1.73729,1.73729,1.73729,1.73729,1642919760,2022-01-23T06:36:00
2.19923,2.19923,2.19923,2.19923,1633079400,2021-10-01T09:10:00
2.4527,2.4527,2.4527,2.4527,1631452140,2021-09-12T13:09:00
2.33945,2.33945,2.33945,2.33945,1631327880,2021-09-11T02:38:00
2.80115,2.80115,2.80115,2.80115,1630953660,2021-09-06T18:41:00
2.7869,2.7869,2.7869,2.7869,1630817700,2021-09-05T04:55:00
2.27704,2.27704,2.27704,2.27704,1630299480,2021-08-30T04:58:00
1.64572,1.64572,1.64572,1.64572,1627331700,2021-07-26T20:35:00
1.68585,1.68585,1.68585,1.68585,1627290060,2021-07-26T09:01:00
1.33704,1.33704,1.33704,1.33704,1626705780,2021-07-19T14:43:00
1.57729,1.57729,1.57729,1.57729,1625912640,2021-07-10T10:24:00
1.47263,1.47263,1.47263,1.47263,1624600920,2021-06-25T06:02:00
1.45427,1.45427,1.45427,1.45427,1624343940,2021-06-22T06:39:00
1.74579,1.74579,1.74579,1.74579,1624008600,2021-06-18T09:30:00
1.81094,1.81094,1.81094,1.81094,1623894900,2021-06-17T01:55:00
1.81498,1.81498,1.81498,1.81498,1623893940,2021-06-17T01:39:00
1.96768,1.96768,1.96768,1.96768,1623731760,2021-06-15T04:36:00
1.88496,1.88496,1.88496,1.88496,1623675240,2021-06-14T12:54:00
1.88074,1.88074,1.88074,1.88074,1623672600,2021-06-14T12:10:00
1.95639,1.95639,1.95639,1.95639,1623298020,2021-06-10T04:07:00
1.96194,1.96194,1.96194,1.96194,1623297660,2021-06-10T04:01:00
2.11764,2.11764,2.11764,2.11764,1623044340,2021-06-07T05:39:00
2.04246,2.04246,2.04246,2.04246,1622949780,2021-06-06T03:23:00
2.15819,2.15819,2.15819,2.15819,1622724840,2021-06-03T12:54:00
1.74867,1.74867,1.74867,1.74867,1622348640,2021-05-30T04:24:00
2.0669,2.0669,2.0669,2.0669,1621983900,2021-05-25T23:05:00
1.80445,1.80445,1.80445,1.80445,1621742760,2021-05-23T04:06:00
2.2607,2.2607,2.2607,2.2607,1621552080,2021-05-20T23:08:00
2.18668,2.18668,2.18668,2.18668,1621494960,2021-05-20T07:16:00
3.14119,3.14119,3.14119,3.14119,1621160220,2021-05-16T10:17:00
3.14916,3.14916,3.14916,3.14916,1621159260,2021-05-16T10:01:00
3.15607,3.15607,3.15607,3.15607,1621158900,2021-05-16T09:55:00
3.17132,3.17132,3.17132,3.17132,1621155720,2021-05-16T09:02:00
3.18882,3.18882,3.18882,3.18882,1621152960,2021-05-16T08:16:00
3.20073,3.20073,3.20073,3.20073,1621152480,2021-05-16T08:08:00
3.20813,3.20813,3.20813,3.20813,1621150560,2021-05-16T07:36:00
3.23257,3.23257,3.23257,3.23257,1621150020,2021-05-16T07:27:00
3.24361,3.24361,3.24361,3.24361,1621148760,2021-05-16T07:06:00
3.22756,3.22756,3.22756,3.22756,1621116780,2021-05-15T22:13:00
3.34878,3.34878,3.34878,3.34878,1621083840,2021-05-15T13:04:00
3.35382,3.35382,3.35382,3.35382,1621083360,2021-05-15T12:56:00
3.36333,3.36333,3.36333,3.36333,1621082700,2021-05-15T12:45:00
3.51547,3.51547,3.51547,3.51547,1620630480,2021-05-10T07:08:00
3.38576,3.38576,3.38576,3.38576,1620541860,2021-05-09T06:31:00
2.83031,2.83031,2.83031,2.83031,1620194760,2021-05-05T06:06:00
2.83805,2.83805,2.83805,2.83805,1620194460,2021-05-05T06:01:00
2.82653,2.82653,2.82653,2.82653,1620100080,2021-05-04T03:48:00
2.83111,2.83111,2.83111,2.83111,1620099480,2021-05-04T03:38:00
2.82985,2.82985,2.82985,2.82985,1620097440,2021-05-04T03:04:00
2.83686,2.83686,2.83686,2.83686,1620097260,2021-05-04T03:01:00
2.86622,2.86622,2.86622,2.86622,1620096300,2021-05-04T02:45:00
2.54575,2.54575,2.54575,2.54575,1619941800,2021-05-02T07:50:00
2.6053,2.6053,2.6053,2.6053,1619923860,2021-05-02T02:51:00
2.61287,2.61287,2.61287,2.61287,1619923260,2021-05-02T02:41:00
2.61234,2.61234,2.61234,2.61234,1619922900,2021-05-02T02:35:00
2.61407,2.61407,2.61407,2.61407,1619921820,2021-05-02T02:17:00
2.63371,2.63371,2.63371,2.63371,1619920800,2021-05-02T02:00:00
2.61843,2.61843,2.61843,2.61843,1619919000,2021-05-02T01:30:00
2.55711,2.55711,2.55711,2.55711,1619850840,2021-05-01T06:34:00
2.47077,2.47077,2.47077,2.47077,1619727360,2021-04-29T20:16:00
2.54253,2.54253,2.54253,2.54253,1619723460,2021-04-29T19:11:00
2.51814,2.51814,2.51814,2.51814,1619586240,2021-04-28T05:04:00
2.47763,2.47763,2.47763,2.47763,1619511180,2021-04-27T08:13:00
2.54013,2.54013,2.54013,2.54013,1619506980,2021-04-27T07:03:00
2.59974,2.59974,2.59974,2.59974,1619506260,2021-04-27T06:51:00
2.61465,2.61465,2.61465,2.61465,1619493060,2021-04-27T03:11:00
2.6461,2.6461,2.6461,2.6461,1619451480,2021-04-26T15:38:00
2.68453,2.68453,2.68453,2.68453,1619439120,2021-04-26T12:12:00
2.53121,2.53121,2.53121,2.53121,1619365860,2021-04-25T15:51:00
2.44299,2.44299,2.44299,2.44299,1619272740,2021-04-24T13:59:00
2.53532,2.53532,2.53532,2.53532,1619246460,2021-04-24T06:41:00
2.60633,2.60633,2.60633,2.60633,1619216700,2021-04-23T22:25:00
3.07893,3.07893,3.07893,3.07893,1619069400,2021-04-22T05:30:00
3.33409,3.33409,3.33409,3.33409,1619057760,2021-04-22T02:16:00
3.22758,3.22758,3.22758,3.22758,1618990680,2021-04-21T07:38:00
2.98368,2.98368,2.98368,2.98368,1618894380,2021-04-20T04:53:00
3.20007,3.20007,3.20007,3.20007,1618817580,2021-04-19T07:33:00
3.1833,3.1833,3.1833,3.1833,1618816440,2021-04-19T07:14:00
3.15829,3.15829,3.15829,3.15829,1618789680,2021-04-18T23:48:00
3.09078,3.09078,3.09078,3.09078,1618735980,2021-04-18T08:53:00
3.43564,3.43564,3.43564,3.43564,1618666380,2021-04-17T13:33:00
3.58759,3.58759,3.58759,3.58759,1618641840,2021-04-17T06:44:00
3.67034,3.67034,3.67034,3.67034,1618638180,2021-04-17T05:43:00
3.70412,3.70412,3.70412,3.70412,1618624260,2021-04-17T01:51:00
3.74331,3.74331,3.74331,3.74331,1618525080,2021-04-15T22:18:00
3.51414,3.51414,3.51414,3.51414,1618483200,2021-04-15T10:40:00
3.34139,3.34139,3.34139,3.34139,1618483140,2021-04-15T10:39:00
3.20068,3.20068,3.20068,3.20068,1618385640,2021-04-14T07:34:00
3.26683,3.26683,3.26683,3.26683,1618383840,2021-04-14T07:04:00
3.3432,3.3432,3.3432,3.3432,1618382100,2021-04-14T06:35:00
3.2585,3.2585,3.2585,3.2585,1618360560,2021-04-14T00:36:00
3.31491,3.31491,3.31491,3.31491,1618360080,2021-04-14T00:28:00
3.25344,3.25344,3.25344,3.25344,1618315680,2021-04-13T12:08:00
3.13329,3.13329,3.13329,3.13329,1618133880,2021-04-11T09:38:00
3.0529,3.0529,3.0529,3.0529,1617954180,2021-04-09T07:43:00
3.12076,3.12076,3.12076,3.12076,1617711780,2021-04-06T12:23:00
3.17802,3.17802,3.17802,3.17802,1617710760,2021-04-06T12:06:00
3.15548,3.15548,3.15548,3.15548,1617623040,2021-04-05T11:44:00
3.17548,3.17548,3.17548,3.17548,1617597780,2021-04-05T04:43:00
3.22605,3.22605,3.22605,3.22605,1617492420,2021-04-03T23:27:00
3.36396,3.36396,3.36396,3.36396,1617459180,2021-04-03T14:13:00
3.3478,3.3478,3.3478,3.3478,1617428280,2021-04-03T05:38:00
3.18533,3.18533,3.18533,3.18533,1617335880,2021-04-02T03:58:00
3.08475,3.08475,3.08475,3.08475,1617261120,2021-04-01T07:12:00
2.96582,2.96582,2.96582,2.96582,1617183120,2021-03-31T09:32:00
2.97835,2.97835,2.97835,2.97835,1617088980,2021-03-30T07:23:00
2.98195,2.98195,2.98195,2.98195,1617087300,2021-03-30T06:55:00
2.97268,2.97268,2.97268,2.97268,1617079500,2021-03-30T04:45:00
3.01601,3.01601,3.01601,3.01601,1617062820,2021-03-30T00:07:00
2.85677,2.85677,2.85677,2.85677,1616875560,2021-03-27T20:06:00
2.8508,2.8508,2.8508,2.8508,1616855940,2021-03-27T14:39:00
2.88255,2.88255,2.88255,2.88255,1616855220,2021-03-27T14:27:00
2.90356,2.90356,2.90356,2.90356,1616818380,2021-03-27T04:13:00
2.80602,2.80602,2.80602,2.80602,1616765700,2021-03-26T13:35:00
2.80714,2.80714,2.80714,2.80714,1616764080,2021-03-26T13:08:00
3.18456,3.18456,3.18456,3.18456,1616245500,2021-03-20T13:05:00
3.10855,3.10855,3.10855,3.10855,1616131680,2021-03-19T05:28:00
3.11028,3.11028,3.11028,3.11028,1616111700,2021-03-18T23:55:00
3.28713,3.28713,3.28713,3.28713,1615779060,2021-03-15T03:31:00
